# module    intercalibration constant
1   0.0102495
2   0.00909979
3   0.00915851
4   0.0184273
5   0.0106698
6   0.00938633
7   0.00943871
8   0.00904578
9   0.0122702
10   0.00981419
11   0.0114296
12   0.0103499
13   0.0143571
14   0.0128398
15   0.0127148
16   0.013314
#
-1   0.0493701
-2   0.0479285
-3   0.0333162
-4   0.037662
-5   0.0315564
-6   0.0259342
-7   0.0318022
-8   0.0311567
-9   0.048557
-10   0.0362166
-11   0.0366005
-12   0.0355203
-13   0.048225
-14   0.0425268
-15   0.0438481
-16   0.0596304

